Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
packwisely_pouch_fill_close_first,ui,UI,,x,Close the open pouch before filling it from your backpack.,,"Schließe die geöffnete Tasche, bevor du sie aus dem Rucksack füllst.",Cierra la bolsa abierta antes de llenarla desde tu mochila.,Fermez la poche ouverte avant de la remplir depuis votre sac.,Chiudi la tasca aperta prima di riempirla dallo zaino.,バックパックから補充する前に、開いているポーチを閉じてください。,배낭에서 채우기 전에 열린 파우치를 닫으세요.,"Zamknij otwartą torbę, zanim napełnisz ją z plecaka.",Feche a bolsa aberta antes de enchê-la pela mochila.,"Закройте открытый подсумок, прежде чем заполнять его из рюкзака.",Açık cebi çantandan doldurmadan önce kapat.,从背包填充前，请先关闭已打开的包。,從背包填充前，請先關閉已開啟的包。
packwisely_pouch_storage_corrupt,ui,UI,,x,This pouch storage could not be read safely. Contents were not deleted.,,Dieser Taschenspeicher konnte nicht sicher gelesen werden. Inhalte wurden nicht gelöscht.,No se pudo leer este almacenamiento de bolsa de forma segura. El contenido no fue borrado.,Ce stockage de poche n’a pas pu être lu en sécurité. Le contenu n’a pas été supprimé.,Impossibile leggere in sicurezza questo contenitore. Il contenuto non è stato eliminato.,このポーチの保管データを安全に読み取れなかった。中身は削除されていない。,이 파우치 보관 데이터를 안전하게 읽을 수 없습니다. 내용물은 삭제되지 않았습니다.,Nie udało się bezpiecznie odczytać schowka torby. Zawartość nie została usunięta.,Não foi possível ler este armazenamento de bolsa com segurança. O conteúdo não foi apagado.,Не удалось безопасно прочитать хранилище сумки. Содержимое не удалено.,Bu çanta deposu güvenli okunamadı. İçerikler silinmedi.,无法安全读取此包的存储数据。内容未被删除。,無法安全讀取此包的儲存資料。內容未被刪除。
packwisely_ammo_pouch_reject,ui,UI,,x,Ammo Pouch only accepts ammunition.,,Die Munitionstasche nimmt nur Munition auf.,La bolsa de munición solo acepta munición.,La poche à munitions n’accepte que des munitions.,La tasca munizioni accetta solo munizioni.,弾薬ポーチには弾薬だけを入れられる。,탄약 파우치에는 탄약만 넣을 수 있습니다.,Ładownica przyjmuje tylko amunicję.,A bolsa de munição aceita apenas munição.,Подсумок принимает только боеприпасы.,Cephane Cebi yalnızca cephane kabul eder.,弹药包只接受弹药。,彈藥包只接受彈藥。
packwisely_medical_pouch_reject,ui,UI,,x,Medical Pouch only accepts medical supplies and approved buff consumables.,,Die Sanitätstasche nimmt nur Sanitätsmaterial und zugelassene Buff-Verbrauchsgüter auf.,La bolsa médica solo acepta suministros médicos y consumibles de mejora aprobados.,La trousse médicale n’accepte que du matériel médical et des consommables de bonus approuvés.,La borsa medica accetta solo materiale medico e consumabili potenzianti approvati.,医療ポーチには医療用品と許可された強化消耗品だけを入れられる。,의료 파우치에는 의료 물품과 승인된 버프 소모품만 넣을 수 있습니다.,Torba medyczna przyjmuje tylko zaopatrzenie medyczne i zatwierdzone przedmioty wzmacniające.,A bolsa médica aceita apenas suprimentos médicos e consumíveis de bônus aprovados.,Медицинская сумка принимает только медпринадлежности и одобренные расходники-усилители.,Sıhhiye Çantası yalnızca tıbbi malzemeleri ve onaylı güçlendirme tüketimlerini kabul eder.,医疗包只接受医疗用品和已批准的增益消耗品。,醫療包只接受醫療用品和已核准的增益消耗品。
packwisely_explosives_pouch_reject,ui,UI,,x,Only explosives and throwables can be stored in this pouch.,,In dieser Tasche können nur Sprengstoffe und Wurfgegenstände gelagert werden.,Solo se pueden guardar explosivos y arrojadizos en esta bolsa.,Seuls les explosifs et objets à lancer peuvent être stockés dans cette poche.,In questa tasca si possono conservare solo esplosivi e oggetti lanciabili.,このポーチには爆発物と投てき物のみ収納できます。,이 파우치에는 폭발물과 투척물만 보관할 수 있습니다.,W tej torbie można przechowywać tylko materiały wybuchowe i przedmioty miotane.,Só explosivos e arremessáveis podem ser guardados nesta bolsa.,В этот подсумок можно класть только взрывчатку и метательные предметы.,Bu cebe sadece patlayıcılar ve fırlatılabilirler konabilir.,此包只能存放爆炸物和投掷物。,此包只能存放爆炸物和投擲物。
packwisely_ammo_pouch_full,ui,UI,,x,Ammo Pouch is full.,,Munitionstasche ist voll.,La bolsa de munición está llena.,La poche à munitions est pleine.,La tasca munizioni è piena.,弾薬ポーチは満杯だ。,탄약 파우치가 가득 찼습니다.,Ładownica jest pełna.,A bolsa de munição está cheia.,Подсумок боеприпасов заполнен.,Cephane Cebi dolu.,弹药包已满。,彈藥包已滿。
packwisely_medical_pouch_full,ui,UI,,x,Medical Pouch is full.,,Sanitätstasche ist voll.,La bolsa médica está llena.,La trousse médicale est pleine.,La borsa medica è piena.,医療ポーチは満杯だ。,의료 파우치가 가득 찼습니다.,Torba medyczna jest pełna.,A bolsa médica está cheia.,Медицинская сумка заполнена.,Sıhhiye Çantası dolu.,医疗包已满。,醫療包已滿。
packwisely_explosives_pouch_full,ui,UI,,x,Demolitions Pouch is full.,,Sprengmeistertasche ist voll.,La bolsa de demolición está llena.,La poche de démolition est pleine.,La tasca demolizioni è piena.,解体用ポーチが満杯です。,철거용 파우치가 가득 찼습니다.,Torba saperska jest pełna.,A bolsa de demolição está cheia.,Подсумок подрывника заполнен.,Yıkım Cebi dolu.,爆破包已满。,爆破包已滿。
packwisely_inspect_pouch,ui,UI,,x,Open Pouch,,Tasche öffnen,Abrir bolsa,Ouvrir la poche,Apri tasca,ポーチを開く,파우치 열기,Otwórz torbę,Abrir bolsa,Открыть подсумок,Pouch Aç,打开包,開啟包
packwisely_pouch_inspect_stacked,ui,UI,,x,Separate stacked pouches before opening them.,,"Trenne gestapelte Taschen, bevor du sie öffnest.",Separa las bolsas apiladas antes de abrirlas.,Séparez les poches empilées avant de les ouvrir.,Separa le tasche impilate prima di aprirle.,重なったポーチは開く前に分けてください。,겹쳐진 파우치는 열기 전에 분리하세요.,Rozdziel zgrupowane torby przed ich otwarciem.,Separe as bolsas empilhadas antes de abri-las.,Разделите сложенные в стопку подсумки перед открытием.,Pouchları açmadan önce yığından ayır.,打开前请先拆分堆叠的包。,開啟前請先拆分堆疊的包。
packwisely_loaded_pouch_not_sellable,ui,UI,,x,Empty the pouch before selling it.,,"Leere die Tasche, bevor du sie verkaufst.",Vacía la bolsa antes de venderla.,Videz la poche avant de la vendre.,Svuota la tasca prima di venderla.,売却する前にポーチを空にしてください。,판매하기 전에 파우치를 비우세요.,Opróżnij torbę przed sprzedażą.,Esvazie a bolsa antes de vendê-la.,Опустошите подсумок перед продажей.,Satmadan önce cebi boşalt.,出售前请先清空包。,出售前請先清空包。
packwisely_pouch_name_ammo,ui,UI,,x,Ammo Pouch,,Munitionstasche,Bolsa de munición,Poche à munitions,Tasca munizioni,弾薬ポーチ,탄약 파우치,Ładownica na amunicję,Bolsa de munição,Подсумок боеприпасов,Cephane Cebi,弹药包,彈藥包
packwisely_pouch_name_medical,ui,UI,,x,Medical Pouch,,Sanitätstasche,Bolsa médica,Trousse médicale,Borsa medica,医療ポーチ,의료 파우치,Torba medyczna,Bolsa médica,Медицинская сумка,Sıhhiye Çantası,医疗包,醫療包
packwisely_pouch_name_explosives,ui,UI,,x,Demolitions Pouch,,Sprengmeistertasche,Bolsa de demolición,Poche de démolition,Tasca demolizioni,解体用ポーチ,철거용 파우치,Torba saperska,Bolsa de demolição,Подсумок подрывника,Yıkım Cebi,爆破包,爆破包

# ==================================================================================================
# POUCH BULK FILL AND TRANSFER MESSAGES
# Messages used when right clicking pouch buttons or moving matching stacks into pouch storage.
# Keep these short because they appear as temporary player tooltips.
# ==================================================================================================
packwisely_pouch_bulk_moved,ui,UI,,x,Moved {0} item(s) to {1}.,,{0} Gegenstand/Gegenstände nach {1} verschoben.,Se movieron {0} objeto(s) a {1}.,{0} objet(s) déplacé(s) vers {1}.,Spostati {0} oggetti in {1}.,{0}個のアイテムを{1}へ移動しました。,아이템 {0}개를 {1}(으)로 옮겼습니다.,Przeniesiono {0} przedmiot(y) do: {1}.,Moveu {0} item(ns) para {1}.,Перемещено предметов в {1}: {0}.,{0} öğe {1} içine taşındı.,已将 {0} 个物品移动到{1}。,已將 {0} 個物品移動到{1}。
packwisely_pouch_bulk_no_stacks,ui,UI,,x,No matching pouch stacks to fill. Click again quickly to move similar pouch items.,,"Keine passenden Taschenstapel zum Auffüllen. Klicke schnell erneut, um ähnliche Taschengegenstände zu verschieben.",No hay montones compatibles en la bolsa para rellenar. Haz clic rápido otra vez para mover objetos similares de la bolsa.,Aucune pile compatible à compléter dans la poche. Cliquez vite à nouveau pour déplacer les objets similaires.,Nessuna pila compatibile nella borsa da riempire. Clicca di nuovo rapidamente per spostare oggetti simili.,補充できる一致スタックがポーチ内にありません。素早くもう一度クリックすると、ポーチ内にある種類と同じアイテムを移動します。,채울 수 있는 일치 파우치 더미가 없습니다. 빠르게 다시 클릭하면 파우치에 있는 종류와 비슷한 아이템을 옮깁니다.,"Brak pasujących stosów w torbie do uzupełnienia. Kliknij szybko ponownie, aby przenieść podobne przedmioty.",Não há pilhas compatíveis na bolsa para completar. Clique rápido de novo para mover itens semelhantes.,"Нет подходящих стопок в сумке для пополнения. Быстро нажмите ещё раз, чтобы переместить похожие предметы.",Doldurulacak eşleşen cep istifi yok. Cepteki benzer eşyaları taşımak için hızlıca tekrar tıkla.,包内没有可补充的匹配堆叠。快速再点一次可移动包内同类物品。,包內沒有可補充的相符堆疊。快速再點一次可移動包內同類物品。
packwisely_pouch_bulk_no_similar,ui,UI,,x,No similar items from this pouch were found in your backpack.,,Im Rucksack wurden keine ähnlichen Gegenstände für diese Tasche gefunden.,No se encontraron objetos similares de esta bolsa en tu mochila.,Aucun objet similaire à cette poche trouvé dans votre sac.,Nessun oggetto simile a questa borsa trovato nello zaino.,このポーチ内の種類と同じアイテムはバックパックにありません。,배낭에서 이 파우치와 비슷한 아이템을 찾지 못했습니다.,W plecaku nie znaleziono podobnych przedmiotów dla tej torby.,Nenhum item semelhante desta bolsa foi encontrado na mochila.,В рюкзаке не найдено похожих предметов для этой сумки.,Çantanda bu cepteki eşyalara benzer eşya bulunamadı.,背包中没有找到与此包内物品相似的物品。,背包中沒有找到與此包內物品相似的物品。
